IdEsquemaFullText,IdEsquemaData,IdHomologacion,FullTextData
7608,68587,62,CHOCOLATE PARA TAZA
23503,75818,62,"CHOCOLATES DE LECHE, BLANCO PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
24724,71257,62,"PRODUCTOS DE CONFITERÍA(CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDANEO)"
24836,71271,62,"PRODUCTOS DE CONFITERÍA(CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDANEO)"
30960,72188,62,"CHOCOLATES: DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO."
34922,72229,62,CHOCOLATES
34929,72230,62,"CHOCOLATES: DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO."
36591,72747,62,"CHOCOLATES: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE"
43258,72811,62,"CHOCOLATES: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE"
43462,75457,62,"CHOCOLATE DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO"
43698,71238,62,"PRODUCTOS DE CONFITERÍA(CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDANEO)"
44117,75476,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
44153,75480,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
44180,75484,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
49293,72264,62,"CHOCOLATES: DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO."
49869,80165,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
50058,80180,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
50114,80197,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
50133,80190,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
51745,77328,65,CACAO Y CHOCOLATE. GRASA EN PRODUCTOS DEL CACAO. MÉTODO DE EXTRACCIÓN POR SOXHLET NTP 208.016:2015. VALIDADO (MODIFICADO).
51948,77357,65,CACAO Y CHOCOLATE. DETERMINACIÓN DE HUMEDAD. MÉTODO GRAVIMÉTRICO NTP 208.017:2021. EXCEPTO 4.3.1.3
53246,81516,62,CHOCOLATE (S)
54133,72908,62,"CHOCOLATE BLANCO, DE LECHE, PARA TAZA, DE COBERTURA CON O SIN RELLENO"
56459,72453,62,CHOCOLATE
57499,72513,62,"CHOCOLATE BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDANEO"
62614,79151,62,CHOCOLATE PARA TAZA
62617,79151,65,CACAO Y CHOCOLATE. GRASA EN PRODUCTOS DEL CACAO. MÉTODO DE EXTRACCIÓN POR SOXHLET. NTP 208.016:2021
62803,79178,62,CHOCOLATES
62852,79185,62,CHOCOLATE
71596,75769,62,"CHOCOLATES DE LECHE, BLANCO PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
71754,79187,62,CHOCOLATES
72758,80221,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
72849,80234,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
76150,81567,62,CHOCOLATE (S)
79625,75745,62,"CHOCOLATES DE LECHE, BLANCO PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
79853,81592,62,CHOCOLATE (S)
82239,81619,62,CHOCOLATE (S)
100135,81641,62,CHOCOLATE (S)
101019,72647,62,"CACAO Y DERIVADOS: PASTA DE CACAO, COCOA, CHOCOLATES Y OTROS"
101894,85891,62,"PRODUCTOS DE CONFITERÍA: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
102027,85910,62,"PRODUCTOS DE CONFITERÍA: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
102964,84755,62,CHOCOLATE (S)
108768,81009,62,CHOCOLATE (S)
110029,72654,62,"CHOCOLATES: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE"
123925,77225,62,PRODUCTOS DE CONFITERÍA (CHOCOLATES)
124030,77240,62,PRODUCTOS DE CONFITERÍA (CHOCOLATES)
124278,77275,65,CACAO Y CHOCOLATE. DETERMINACIÓN DE CENIZAS TOTALES NTP 208.015:2021. EXCEPTO 6.2.2.
130214,79040,62,CHOCOLATE PARA TAZA
130767,79119,62,CHOCOLATE PARA TAZA
130770,79119,65,CACAO Y CHOCOLATE. LICOR O PASTA DE CACAO Y CHOCOLATES. DETERMINACIÓN DE SÓLIDOS NO GRASOS. NTP 208.028
