IdEsquemaFullText,IdEsquemaData,IdHomologacion,FullTextData
1251,67554,81,LABORATORIOS ACUICOLAS S.A.
1252,67554,82,LABORATORIOS ACUICOLAS S.A.
3470,66919,82, LABORATORIO ENOLÓGICO DEL CENTRO VITIVINÍCOLA DE TARIJA (CEVITA) DEL GOBIERNO AUTONOMO DEL DEPARTAMENTO DE TARIJA
7608,68587,62,CHOCOLATE PARA TAZA
8389,67439,81,"CENTRO DE INNOVACIÓN PRODUCTIVA Y TRANSFERENCIA TECNOLÓGICA PRIVADO ACUÍCOLA DE LA UNIVERSIDAD PERUANA CAYETANO HEREDIA - CITEacuícola UPCH
"
12956,67475,81,ECOLAB S.R.L.
12957,67475,82,ECOLAB S.R.L.
23503,75818,62,"CHOCOLATES DE LECHE, BLANCO PARA TAZA, DE COBERTURA CON O SIN RELLENO Y CHOCOLATE SUCEDÁNEO"
24724,71257,62,"PRODUCTOS DE CONFITERÍA(CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDANEO)"
24836,71271,62,"PRODUCTOS DE CONFITERÍA(CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDANEO)"
27680,73509,65,"ANÁLISIS DE MULTIRESIDUOS VETERINARIOS EN PRODUCTOS ACUÍCOLAS POR LC-MS/MS JOURNAL OF CHROMATOGRAPHY A, 1258 (2012) 43-54 (VALIDADO - APLICADO FUERA DEL ALCANCE - MODIFICADO)"
30960,72188,62,"CHOCOLATES: DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO."
34844,67829,102,Textos escolares
34845,67829,103,"NTP 280.001 1974 (Rev. 2018) Cuadernos, textos escolares y artículos similares"
34922,72229,62,CHOCOLATES
34929,72230,62,"CHOCOLATES: DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO."
35978,71706,65,PH.SUSPENSIÓN Y DETERMINACIÓN POTENCIOMÉTRICA (LODOS Y SUELOS). GOBIERNO DE CHILE. PROTOCOLO DE MÉTODOS DE ANÁLISIS PARA SUELOS Y LODOS. UNIVERSIDAD DE CONCEPCIÓN. ELABORADO CON LA PARTICIPACIÓN DE LA COMISIÓN DE NORMALIZACIÓN Y ACREDITACIÓN DE LA SOCIEDAD CHILENA DE LA CIENCIA DEL SUELO POR ENCARGO DEL SERVICIO AGRÍCOLA Y GANADERO. MÉTODO 4.1 (VALIDADO)
35979,71707,65,PH.SUSPENSIÓN Y DETERMINACIÓN POTENCIOMÉTRICA (LODOS Y SUELOS). GOBIERNO DE CHILE. PROTOCOLO DE MÉTODOS DE ANÁLISIS PARA SUELOS Y LODOS. UNIVERSIDAD DE CONCEPCIÓN. ELABORADO CON LA PARTICIPACIÓN DE LA COMISIÓN DE NORMALIZACIÓN Y ACREDITACIÓN DE LA SOCIEDAD CHILENA DE LA CIENCIA DEL SUELO POR ENCARGO DEL SERVICIO AGRÍCOLA Y GANADERO. MÉTODO 4.1 (VALIDADO)
36591,72747,62,"CHOCOLATES: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE"
43258,72811,62,"CHOCOLATES: CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON Y SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE"
43462,75457,62,"CHOCOLATE DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDÁNEO"
43698,71238,62,"PRODUCTOS DE CONFITERÍA(CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA, CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOTEJAS) Y CHOCOLATE SUCEDANEO)"
44117,75476,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
44153,75480,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
44180,75484,62,"CHOCOLATES DE LECHE, BLANCO, PARA TAZA, DE COBERTURA CON O SIN RELLENO (BOMBONES, TEJAS Y CHOCOLATES) Y CHOCOLATE SUCEDÁNEO."
48031,79501,62,AVES DE CORRAL CRUDAS Y PRODUCTOS AVÍCOLAS LISTAS PARA COCINAR
48080,79508,62,PRODUCTOS AVÍCOLAS LISTOS PARA CONSUMIR Y RECALENTAR
48095,79527,62,AVES DE CORRAL CRUDAS Y PRODUCTOS AVÍCOLAS LISTAS PARA COCINAR
48194,79522,62,PRODUCTOS AVÍCOLAS LISTOS PARA CONSUMIR Y RECALENTAR
